Custer;113.123
Delta;757.823
Denver;64.967.855
Dolores;189.649
Douglas;14.639.427
Eagle;3.239.691
Elbert;408.390
El Paso;30.002.074
Fremont;1.278.162
Garfield;4.132.405
Gilpin;538.272
Grand;689.576
Gunnison;964.683
Hinsdale;36.035
Huerfano;250.792
Jackson;86.867
Jefferson;27.313.257
Kiowa;53.456
Kit Carson;402.953
Lake;253.022
La Plata;3.413.906
Larimer;15.783.607
Las Animas;725.101
Lincoln;354.713
Logan;1.259.351
Mesa;5.508.113
Mineral;55.079
Moffat;1.010.661
Montezuma;1.929.218
Montrose;1.303.461
Morgan;1.469.957
Otero;565.877
Ouray;206.622
Park;375.035
Phillips;202.774
Pitkin;1.884.684
Prowers;595.437
Pueblo;5.781.630
Rio Blanco;773.604
Rio Grande;423.213
Routt;1.594.565
Saguache;188.442
San Juan;51.384
San Miguel;583.288
Sedgwick;111.017
Summit;2.004.344
Teller;807.758
Washington;188.697
Weld;17.930.270
Yuma;786.263
Fairfield;79.314.469
Hartford;78.227.224
Litchfield;7.538.721
Middlesex;8.668.851
New Haven;46.341.650
New London;16.544.548
Tolland;4.780.577
Windham;4.609.388
Kent;6.712.345
New Castle;45.250.124
Sussex;10.941.803
District of Columbia;119.420.201
Alachua;11.853.344
Baker;535.575
Bay;7.457.630
Bradford;629.055
Brevard;21.364.647
Broward;90.818.287
Calhoun;250.872
Charlotte;4.344.608
Citrus;3.368.240
Clay;4.363.800
Collier;14.907.455
Columbia;1.972.534
DeSoto;916.256
Dixie;266.274
Duval;54.385.257
Escambia;13.712.490
Flagler;2.042.649
Franklin;335.945
Gadsden;1.162.741
Gilchrist;346.352
Glades;299.660
Gulf;394.959
Hamilton;393.390
Hardee;1.097.459
Hendry;1.299.074
Hernando;3.475.138
Highlands;2.400.380
Hillsborough;76.684.873
Holmes;309.829
Indian River;5.391.629
Jackson;1.230.642
Jefferson;281.630
Lafayette;171.689
Lake;7.695.815
Lee;25.754.798
Leon;13.346.310
Levy;876.792
Liberty;192.871
Madison;389.853
Manatee;11.817.380
Marion;8.617.249
Martin;6.532.871
Miami-Dade;137.963.943
Monroe;4.160.693
Nassau;2.068.223
Okaloosa;9.866.069
Okeechobee;1.184.349
Orange;81.206.660
Osceola;8.164.089
Palm Beach;68.251.948
Pasco;10.491.399
Pinellas;43.984.792
Polk;21.986.198
Putnam;1.953.934
St. Johns;6.684.232
St. Lucie;7.742.549
Santa Rosa;3.692.393
Sarasota;16.428.334
Seminole;17.978.641
Sumter;2.244.615
Suwannee;1.195.604
Taylor;717.906
Union;264.578
Volusia;15.555.453
Wakulla;618.302
Walton;2.384.452
Washington;473.575
Appling;1.439.224
Atkinson;212.822
Bacon;326.657
Baker;86.586
Baldwin;1.207.272
Banks;379.587
Barrow;1.676.319
Bartow;4.344.764
Ben Hill;480.986
Berrien;340.606
Bibb;7.644.887
Bleckley;230.298
Brantley;210.236
Brooks;318.986
Bryan;758.765
Bulloch;2.037.159
Burke;2.295.293
Butts;534.118
Calhoun;122.591
Camden;1.708.808
Candler;229.158
Carroll;3.964.320
Catoosa;1.249.727
Charlton;215.293
Chatham;15.922.063
Chattahoochee;1.542.315
Chattooga;555.770
Cherokee;5.792.288
Clarke;6.657.979
Clay;73.469
Clayton;16.174.681
Clinch;235.320
Cobb;43.977.008
Coffee;1.315.587
Colquitt;1.258.152
Columbia;3.037.883
Cook;327.898
Coweta;3.558.236
Crawford;163.307
Crisp;732.983
Dade;328.235
Dawson;664.508
Decatur;752.281
DeKalb;35.327.547
